This is the complete list of games supported by MAME 0.37 BETA 1 (Apr  6 2000)
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Fatal Fury 3 - Road to the Final |  Yes  |  Yes  |  Yes  |  Yes  | fatfury3 |
| Fatal Fury Special / Garou Denset|  Yes  |  Yes  |  Yes  |  Yes  | fatfursp |
| Fax                              |  Yes  |  Yes  |Partial|  Yes  | fax      |
| Fight Fever / Crystal Legacy     |  Yes  |  Yes  |  Yes  |  Yes  | fightfev |
| Fighting Golf                    |  Yes  |  Yes  |  Yes  |   No  | fitegolf |
| Fighting Hawk                    |  Yes  |  Yes  |   No  |  Yes  | fhawk    |
| Fighting Soccer                  |  Yes  |  Yes  |  Yes  |   No  | ftsoccer |
| Final Fight                      |  Yes  |  Yes  |  Yes  |  Yes  | ffight   |
| Final Round                      |  Yes  |  Yes  |  Yes  |  Yes  | fround   |
| Finalizer - Super Transformation |  Yes  |  Yes  |Partial|   No  | finalizr |
| Finest Hour                      |  Yes  |  Yes  |  Yes  |  Yes  | finehour |
| Fire One                         |   No  |  Yes  |   No  |  Yes  | fireone  |
| Fire Shark                       |  Yes  |  Yes  |   No  |  Yes  | fireshrk |
| Fire Trap                        | No(1) |  Yes  |  Yes  |  Yes  | firetrap |
| Flash Gal                        |  Yes  |  Yes  |  Yes  |  Yes  | flashgal |
| Flash Point                      | No(1) |  Yes  |  Yes  |  Yes  | fpoint   |
| Flicky                           |  Yes  |  Yes  |  Yes  |   No  | flicky   |
| Fly-Boy                          | No(1) |  Yes  |  Yes  |  Yes  | flyboy   |
| Flying Shark                     |  Yes  |  Yes  |  Yes  |  Yes  | fshark   |
| Food Fight                       |  Yes  |  Yes  |  Yes  |   No  | foodf    |
| Football Frenzy                  |  Yes  |  Yes  |  Yes  |  Yes  | fbfrenzy |
| Forgotten Worlds                 |  Yes  |  Yes  |  Yes  |  Yes  | forgottn |
| Formation Z                      |   No  |  Yes  |  Yes  |   No  | formatz  |
| Freeze                           |  Yes  |  Yes  |  Yes  |  Yes  | freeze   |
| Frenzy                           |  Yes  |  Yes  | Yes(2)|  Yes  | frenzy   |
| Frisky Tom                       |  Yes  |  Yes  |  Yes  |   No  | friskyt  |
| Frogger                          |  Yes  |  Yes  |  Yes  |  Yes  | frogger  |
| Frogs                            |  Yes  |  Yes  |   No  |  Yes  | frogs    |
| Front Line                       |  Yes  |  Yes  |  Yes  |  Yes  | frontlin |
| Funky Bee                        |  Yes  |  Yes  |  Yes  |   No  | funkybee |
| Funky Fish                       |  Yes  |  Yes  |  Yes  |  Yes  | fnkyfish |
| Future Spy                       |  Yes  |  Yes  | Yes(2)|   No  | futspy   |
| Galactic Warriors                |  Yes  |  Yes  |  Yes  |  Yes  | gwarrior |
| Galaga                           |  Yes  |  Yes  | Yes(2)|  Yes  | galaga   |
| Galaga '88                       |  Yes  |  Yes  |  Yes  |  Yes  | galaga88 |
| Galaxian                         |  Yes  |  Yes  |  Yes  |  Yes  | galaxian |
| Galaxy Fight - Universal Warriors|  Yes  |  Yes  |  Yes  |  Yes  | galaxyfg |
| Galaxy Wars                      |  Yes  |  Yes  | Yes(2)|  Yes  | galxwars |
| Galivan - Cosmo Police           |  Yes  |  Yes  |  Yes  |  Yes  | galivan  |
| Gallop - Armed police Unit       |  Yes  |  Yes  |Partial|   No  | gallop   |
| Gals Panic                       |  Yes  |  Yes  |  Yes  |  Yes  | galpanic |
| Gang Busters                     |  Yes  |  Yes  |  Yes  |  Yes  | gbusters |
| Gang Wars                        | No(1) |  Yes  |  Yes  |   No  | gangwars |
| Gaplus                           |  Yes  |  Yes  | Yes(2)|  Yes  | gaplus   |
| Gardia                           |   No  |  Yes  |  Yes  |   No  | gardia   |
| Garyo Retsuden                   |  Yes  |  Yes  |  Yes  |   No  | garyoret |
| Gauntlet                         |  Yes  |  Yes  |  Yes  |  Yes  | gauntlet |
| Gauntlet II                      |  Yes  |  Yes  |  Yes  |  Yes  | gaunt2   |
| Gee Bee                          |  Yes  |  Yes  |  Yes  |  Yes  | geebee   |
| Gemini Wing                      |  Yes  |  Yes  |  Yes  |   No  | gemini   |
| Genpei ToumaDen                  |  Yes  |  Yes  |  Yes  |  Yes  | genpeitd |
| Ghost Pilots                     |  Yes  |  Yes  |  Yes  |  Yes  | gpilots  |
| Ghosts'n Goblins                 |  Yes  |  Yes  |  Yes  |  Yes  | gng      |
| Ghouls'n Ghosts                  |  Yes  |  Yes  |  Yes  |  Yes  | ghouls   |
| Ghox                             |  Yes  |  Yes  |   No  |  Yes  | ghox     |
| Gimme A Break                    |  Yes  |  Yes  |  Yes  |  Yes  | gimeabrk |
| Ginga NinkyouDen                 |  Yes  |  Yes  |  Yes  |  Yes  | ginganin |
| Gladiator                        |  Yes  |  Yes  |  Yes  |   No  | gladiatr |
| Glob, The                        |  Yes  |  Yes  |  Yes  |  Yes  | theglob  |
| Go Go Mr. Yamaguchi / Yuke Yuke Y|  Yes  | Close |  Yes  |  Yes  | yamagchi |
| Goal! Goal! Goal!                |  Yes  |  Yes  |  Yes  |  Yes  | goalx3   |
| Goalie Ghost                     |  Yes  |  Yes  |  Yes  |  Yes  | gghost   |
| Goindol                          |  Yes  |  Yes  |  Yes  |  Yes  | goindol  |
| Gold Medalist                    |   No  |  Yes  |  Yes  |   No  | goldmedl |
| Golden Axe                       |  Yes  |  Yes  |  Yes  |  Yes  | goldnaxe |
| Gondomania                       |  Yes  |  Yes  |  Yes  |   No  | gondo    |
| Gorf                             |  Yes  |  Yes  |  Yes  |  Yes  | gorf     |
| Got-Ya                           |  Yes  |  Yes  | Yes(2)|  Yes  | gotya    |
| Gradius III                      |  Yes  |  Yes  |  Yes  |  Yes  | gradius3 |
| Gravitar                         |  Yes  |  Yes  |  Yes  |  Yes  | gravitar |
| Great 1000 Miles Rally           |  Yes  |  Yes  |  Yes  |  Yes  | gtmr     |
| Great Swordsman                  |  Yes  | Close |  Yes  |  Yes  | gsword   |
| Green Beret                      |  Yes  |  Yes  |  Yes  |  Yes  | gberet   |
| Gridiron Fight                   |  Yes  |  Yes  |  Yes  |  Yes  | gridiron |
| Grobda                           |  Yes  |  Yes  |  Yes  |  Yes  | grobda   |
| Growl                            |  Yes  |  Yes  |  Yes  |   No  | growl    |
| Guardian                         | No(1) |  Yes  |  Yes  |   No  | getstar  |
| Guerrilla War                    |  Yes  |  Yes  |  Yes  |   No  | gwar     |
| Guided Missile                   |  Yes  |  Yes  |   No  |  Yes  | gmissile |
| Gun Dealer                       |  Yes  |  Yes  |  Yes  |  Yes  | gundealr |
| Gun Fight                        |  Yes  |  Yes  |   No  |  Yes  | gunfight |
| Gun.Smoke                        |  Yes  |  Yes  |  Yes  |   No  | gunsmoke |
| Gunforce - Battle Fire Engulfed T|  Yes  |  Yes  |   No  |   No  | gunforce |
| Gururin                          |  Yes  |  Yes  |  Yes  |  Yes  | gururin  |
| Guzzler                          |  Yes  |  Yes  |  Yes  |  Yes  | guzzler  |
| Gypsy Juggler                    |  Yes  |  Yes  |  Yes  |  Yes  | gypsyjug |
| Gyrodine                         |  Yes  |  Yes  |  Yes  |  Yes  | gyrodine |
| Gyruss                           |  Yes  |  Yes  |  Yes  |  Yes  | gyruss   |
| Hachoo!                          |  Yes  |  Yes  |  Yes  |  Yes  | hachoo   |
| HAL21                            |  Yes  |   No  |   No  |  Yes  | hal21    |
| Hammerin' Harry                  |  Yes  |  Yes  |  Yes  |   No  | hharry   |
| Hang-On                          |  Yes  |  Yes  |  Yes  |  Yes  | hangon   |
| Hard Hat                         |  Yes  |  Yes  |Partial|  Yes  | hardhat  |
| Hat Trick                        |  Yes  |  Yes  |  Yes  |  Yes  | hattrick |
| Haunted Castle                   |  Yes  |  Yes  |  Yes  |   No  | hcastle  |
| Head On                          |  Yes  |  Yes  |   No  |  Yes  | headon   |
| Head On 2                        |  Yes  |  Yes  |   No  |  Yes  | headon2  |
| Heavy Barrel                     |  Yes  |  Yes  |  Yes  |   No  | hbarrel  |
| Heavy Metal                      |  Yes  |  Yes  |  Yes  |   No  | hvymetal |
| Heavyweight Champ                |  Yes  |  Yes  |  Yes  |  Yes  | hwchamp  |
| Heiankyo Alien                   |  Yes  |  Yes  |   No  |  Yes  | heiankyo |
| HeliFire                         |  Yes  |  Yes  |Partial|  Yes  | helifire |
| Hellfire                         |  Yes  |  Yes  |  Yes  |  Yes  | hellfire |
| Herbie at the Olympics           |  Yes  |   No  |  Yes  |  Yes  | herbiedk |
| Hexa                             |  Yes  |  Yes  |  Yes  |  Yes  | hexa     |
| High Impact Football             |  Yes  |  Yes  |  Yes  |  Yes  | hiimpact |
| High Way Race                    |  Yes  |  Yes  |  Yes  |  Yes  | hwrace   |
| Hippodrome                       |  Yes  |  Yes  |  Yes  |   No  | hippodrm |
| Hit 'n Miss                      |  Yes  |  Yes  |  Yes  |  Yes  | hitnmiss |
| Hoccer                           |  Yes  |  Yes  |  Yes  |  Yes  | hoccer   |
| Hook                             |  Yes  |  Yes  |   No  |   No  | hook     |
| Hopper Robo                      |  Yes  |  Yes  |  Yes  |  Yes  | hopprobo |
| Hopping Mappy                    |  Yes  |  Yes  |  Yes  |  Yes  | hopmappy |
| Hot Chase                        |  Yes  |  Yes  |  Yes  |  Yes  | hotchase |
| Hot Shocker                      |  Yes  |  Yes  |  Yes  |  Yes  | hotshock |
| Hunchback                        |  Yes  |   No  |  Yes  |  Yes  | hunchbkd |
| Hustle                           |  Yes  |  Yes  |Part(2)|   No  | hustle   |
| Hustler, The                     |  Yes  |  Yes  |  Yes  |  Yes  | thehustl |
| Hydra                            |  Yes  |  Yes  |  Yes  |  Yes  | hydra    |
| Hyper Sports                     |  Yes  |  Yes  |  Yes  |  Yes  | hyperspt |
| I'm Sorry                        |  Yes  |  Yes  |  Yes  |   No  | imsorry  |
| I, Robot                         |  Yes  |  Yes  |  Yes  |   No  | irobot   |
| Iga Ninjyutsuden                 |  Yes  |  Yes  |  Yes  |  Yes  | iganinju |
| Ikari III - The Rescue           |  Yes  |  Yes  |  Yes  |   No  | ikari3   |
| Ikari Warriors                   |  Yes  |  Yes  |  Yes  |   No  | ikari    |
| Image Fight                      |  Yes  |  Yes  |  Yes  |   No  | imgfight |
| In The Hunt                      |  Yes  |  Yes  |   No  |   No  | inthunt  |
| Indiana Jones and the Temple of D|  Yes  |  Yes  |  Yes  |  Yes  | indytemp |
| Inferno                          |  Yes  |  Yes  |Partial|  Yes  | inferno  |
| Insector X                       |  Yes  |  Yes  |  Yes  |  Yes  | insectx  |
| Intrepid                         |  Yes  |  Yes  |  Yes  |  Yes  | intrepid |
| Invader's Revenge                |  Yes  |  Yes  | Yes(2)|  Yes  | invrvnge |
| Invinco                          |  Yes  |  Yes  |  Yes  |  Yes  | invinco  |
| Invinco / Deep Scan              |  Yes  |  Yes  |  Yes  |  Yes  | invds    |
| Invinco / Head On 2              |  Yes  |  Yes  |  Yes  |  Yes  | invho2   |
| Iron Horse                       |  Yes  |  Yes  |  Yes  |   No  | ironhors |
| Irritating Maze / Ultra Denryu Ir|  Yes  |  Yes  |  Yes  |  Yes  | irrmaze  |
| Jack Rabbit                      |  Yes  |  Yes  |   No  |   No  | jackrabt |
| Jack the Giantkiller             |  Yes  |  Yes  |  Yes  |  Yes  | jack     |
| Jackal                           |  Yes  | Close |  Yes  |   No  | jackal   |
| Jail Break                       |  Yes  |  Yes  |  Yes  |   No  | jailbrek |
| Journey                          |  Yes  |  Yes  |Partial|  Yes  | journey  |
| Joust                            |  Yes  |  Yes  |  Yes  |  Yes  | joust    |
| Joust 2 - Survival of the Fittest|  Yes  |  Yes  |  Yes  |  Yes  | joust2   |
| Joyful Road                      |  Yes  |   No  |  Yes  |  Yes  | joyfulr  |
| Jr. Pac-Man                      |  Yes  |  Yes  |  Yes  |  Yes  | jrpacman |
| Jump Bug                         |  Yes  |  Yes  |  Yes  |  Yes  | jumpbug  |
| Jump Coaster                     |  Yes  |  Yes  |  Yes  |  Yes  | jumpcoas |
| Jump Shot                        |   No  |  Yes  |  Yes  |  Yes  | jumpshot |
| Jumping Jack                     |  Yes  |  Yes  |  Yes  |  Yes  | jjack    |
| Jungle King                      |  Yes  |  Yes  |  Yes  |  Yes  | junglek  |
| Jungler                          |  Yes  |  Yes  |  Yes  |  Yes  | jungler  |
| Juno First                       |  Yes  |  Yes  |  Yes  |  Yes  | junofrst |
| Jyanshin Densetsu - Quest of Jong|  Yes  |  Yes  |  Yes  |  Yes  | janshin  |
| Kabuki Klash - Far East of Eden /|  Yes  |  Yes  |  Yes  |  Yes  | kabukikl |
| Kageki                           |  Yes  |  Yes  |  Yes  |  Yes  | kageki   |
| Kaitei Takara Sagashi            |  Yes  |  Yes  |  Yes  |  Yes  | kaitei   |
| Kangaroo                         |  Yes  |  Yes  |  Yes  |  Yes  | kangaroo |
| Kaos                             |  Yes  |  Yes  |  Yes  |  Yes  | kaos     |
| Karate Blazers                   |  Yes  |  Yes  |  Yes  |   No  | karatblz |
| Karate Champ                     |  Yes  |  Yes  |  Yes  |   No  | kchamp   |
| Karnov                           |  Yes  |  Yes  |  Yes  |   No  | karnov   |
| Karnov's Revenge / Fighter's Hist|  Yes  |  Yes  |  Yes  |  Yes  | karnovr  |
| Kick                             |  Yes  |  Yes  |  Yes  |  Yes  | kick     |
| Kick and Run                     |  Yes  |  Yes  |  Yes  |  Yes  | kicknrun |
| Kick Off                         |  Yes  |  Yes  |  Yes  |  Yes  | kickoff  |
| Kick Rider                       |  Yes  |  Yes  |  Yes  |  Yes  | kickridr |
| Kick Start Wheelie King          |   No  |  Yes  |  Yes  |  Yes  | kikstart |
| Kicker                           |  Yes  |  Yes  |  Yes  |  Yes  | kicker   |
| Kid Niki - Radical Ninja         |  Yes  |  Yes  |Partial|  Yes  | kidniki  |
| KiKi KaiKai                      |   No  |  Yes  |  Yes  |  Yes  | kikikai  |
| Killer Comet                     |  Yes  |  Yes  |  Yes  |  Yes  | killcom  |
| King & Balloon                   |  Yes  |  Yes  |  Yes  |  Yes  | kingball |
| King of Boxer                    |  Yes  |  Yes  |  Yes  |  Yes  | kingofb  |
| King of Dragons, The             |  Yes  |  Yes  |  Yes  |  Yes  | kod      |
| King of Fighters '94, The        |  Yes  |  Yes  |  Yes  |  Yes  | kof94    |
| King of Fighters '95, The        |  Yes  |  Yes  |  Yes  |  Yes  | kof95    |
| King of Fighters '96, The        |  Yes  |  Yes  |  Yes  |  Yes  | kof96    |
| King of Fighters '97, The        |  Yes  |  Yes  |  Yes  |  Yes  | kof97    |
| King of Fighters '98 - The Slugfe|  Yes  |  Yes  |  Yes  |  Yes  | kof98    |
| King of the Monsters             |  Yes  |  Yes  |  Yes  |  Yes  | kotm     |
| King of the Monsters 2 - The Next|  Yes  |  Yes  |  Yes  |  Yes  | kotm2    |
| Kizuna Encounter - Super Tag Batt|  Yes  |  Yes  |  Yes  |  Yes  | kizuna   |
| Klax                             |  Yes  |  Yes  |  Yes  |  Yes  | klax     |
| Knights of the Round             |  Yes  |  Yes  |  Yes  |  Yes  | knights  |
| Knuckle Bash                     |  Yes  |  Yes  |   No  |  Yes  | kbash    |
| Kodure Ookami                    |  Yes  |  Yes  |  Yes  |   No  | kodure   |
| Konami GT                        |  Yes  |  Yes  |  Yes  |  Yes  | konamigt |
| Kozmik Kroozr                    |  Yes  |  Yes  |  Yes  |  Yes  | kroozr   |
| Kram                             |  Yes  |  Yes  |  Yes  |   No  | kram     |
| Krull                            |  Yes  |  Yes  |  Yes  |  Yes  | krull    |
| Kung Fu Master                   |  Yes  |  Yes  |  Yes  |  Yes  | kungfum  |
| Kyuukai Douchuuki                |  Yes  |  Yes  |  Yes  |  Yes  | kyukaidk |
| Labyrinth Runner                 |   No  |  Yes  |  Yes  |  Yes  | labyrunr |
| Lady Bug                         |  Yes  |  Yes  |  Yes  |  Yes  | ladybug  |
| Laguna Racer                     |  Yes  |  Yes  |   No  |  Yes  | lagunar  |
| Lasso                            |  Yes  | Close |Partial|   No  | lasso    |
| Last Blade / Bakumatsu Roman - Ge|  Yes  |  Yes  |  Yes  |  Yes  | lastblad |
| Last Blade 2 / Bakumatsu Roman - |  Yes  |  Yes  |  Yes  |  Yes  | lastbld2 |
| Last Duel                        |  Yes  |  Yes  |  Yes  |  Yes  | lastduel |
| Last Mission                     |  Yes  |  Yes  |  Yes  |   No  | lastmiss |
| Last Resort                      |  Yes  |  Yes  |  Yes  |  Yes  | lresort  |
| Lazer Command                    |  Yes  |  Yes  |  Yes  |  Yes  | lazercmd |
| League Bowling                   |  Yes  |  Yes  |  Yes  |  Yes  | lbowling |
| Legend of Hero Tonma             |  Yes  |  Yes  |  Yes  |   No  | loht     |
| Legend of Kage, The              |  Yes  |  Yes  |  Yes  |  Yes  | lkage    |
| Legend of Makai                  |  Yes  |  Yes  |  Yes  |  Yes  | lomakai  |
| Legend of Success Joe / Ashitano |  Yes  |  Yes  |  Yes  |  Yes  | legendos |
| Legend of the Valkyrie           |  Yes  |  Yes  |  Yes  |  Yes  | valkyrie |
| Legendary Wings                  |  Yes  |  Yes  |  Yes  |  Yes  | lwings   |
| Leprechaun                       |  Yes  |  Yes  |  Yes  |  Yes  | leprechn |
| Lethal Thunder                   |  Yes  |  Yes  |   No  |   No  | lethalth |
| Levers                           |  Yes  |  Yes  |  Yes  |  Yes  | levers   |
| Liberator                        |  Yes  |  Yes  |  Yes  |   No  | liberatr |
| Lightning Fighters               |  Yes  |  Yes  |  Yes  |  Yes  | lgtnfght |
| Liquid Kids                      |  Yes  |  Yes  |  Yes  |   No  | liquidk  |
| Lizard Wizard                    |  Yes  |  Yes  |  Yes  |  Yes  | lizwiz   |
| Lock'n'Chase                     |  Yes  |  Yes  |  Yes  |  Yes  | lnc      |
| Loco-Motion                      |  Yes  |  Yes  |  Yes  |  Yes  | locomotn |
| Lode Runner                      |  Yes  |  Yes  |  Yes  |  Yes  | ldrun    |
| Lode Runner II - The Bungeling St|  Yes  |  Yes  |  Yes  |  Yes  | ldrun2   |
| Lode Runner III - Majin No Fukkat|  Yes  |  Yes  |  Yes  |  Yes  | ldrun3   |
| Lode Runner IV - Teikoku Karano D|  Yes  |  Yes  |  Yes  |  Yes  | ldrun4   |
| Lost Tomb                        |  Yes  |  Yes  |  Yes  |  Yes  | losttomb |
| Lot Lot                          |  Yes  |  Yes  |  Yes  |  Yes  | lotlot   |
| Lunar Lander                     |  Yes  |  Yes  |  Yes  |  Yes  | llander  |
| Lunar Rescue                     |  Yes  |  Yes  | Yes(2)|  Yes  | lrescue  |
| Lupin III                        |  Yes  |  Yes  |   No  |   No  | lupin3   |
| M-4                              |  Yes  |  Yes  |   No  |  Yes  | m4       |
| M.A.C.H. 3                       |   No  |  Yes  |  Yes  |  Yes  | mach3    |
| M79 Ambush                       |  Yes  |  Yes  |  Yes  |  Yes  | m79amb   |
| Macho Mouse                      |  Yes  |   No  |  Yes  |  Yes  | machomou |
| Mad Crasher                      |  Yes  |  Yes  |Partial|  Yes  | madcrash |
| Mad Gear                         |  Yes  |  Yes  |  Yes  |  Yes  | madgear  |
| Mad Motor                        |  Yes  |  Yes  |  Yes  |  Yes  | madmotor |
| Mad Planets                      |  Yes  |  Yes  |  Yes  |  Yes  | mplanets |
| Magic Sword - Heroic Fantasy     |  Yes  |  Yes  |  Yes  |  Yes  | msword   |
| Magical Drop II                  |  Yes  |  Yes  |  Yes  |  Yes  | magdrop2 |
| Magical Drop III                 |  Yes  |  Yes  |  Yes  |  Yes  | magdrop3 |
| Magical Spot II                  |  Yes  |  Yes  |Partial|  Yes  | magspot2 |
| Magician Lord                    |  Yes  |  Yes  |  Yes  |  Yes  | maglord  |
| Mahjong Gakuen                   |  Yes  |  Yes  |  Yes  |  Yes  | mgakuen  |
| Mahjong Gakuen 2 Gakuen-chou no F|  Yes  |  Yes  |  Yes  |  Yes  | mgakuen2 |
| Mahjong Kyoretsuden              |  Yes  |  Yes  |  Yes  |  Yes  | mahretsu |
| Main Event, The                  |  Yes  |  Yes  |  Yes  |  Yes  | mainevt  |
| Major Havoc                      |  Yes  |  Yes  |  Yes  |  Yes  | mhavoc   |
| Major League                     |  Yes  |  Yes  |  Yes  |  Yes  | mjleague |
| Major Title                      |   No  |  Yes  |  Yes  |   No  | majtitle |
| Major Title 2                    |  Yes  | Close |   No  |   No  | majtitl2 |
| Mania Challenge                  |  Yes  |  Yes  |  Yes  |  Yes  | maniach  |
| Mappy                            |  Yes  |  Yes  |  Yes  |  Yes  | mappy    |
| Marble Madness                   |  Yes  |  Yes  |  Yes  |  Yes  | marble   |
| Marchen Maze                     |  Yes  |  Yes  |  Yes  |  Yes  | mmaze    |
| Marine Boy                       |  Yes  |  Yes  |  Yes  |  Yes  | marineb  |
| Mariner                          |  Yes  |  Yes  |  Yes  |  Yes  | mariner  |
| Mario Bros.                      |  Yes  |  Yes  | Yes(2)|  Yes  | mario    |
| Mars                             |  Yes  |  Yes  |  Yes  |  Yes  | mars     |
| Marvel Land                      |  Yes  |  Yes  |  Yes  |  Yes  | marvland |
| Marvin's Maze                    |  Yes  |  Yes  |  Yes  |  Yes  | marvins  |
| Mat Mania                        |  Yes  |  Yes  |  Yes  |  Yes  | matmania |
| Max RPM                          |  Yes  |  Yes  |  Yes  |  Yes  | maxrpm   |
| Mayday                           |  Yes  |  Yes  |  Yes  |  Yes  | mayday   |
| Meadows Lanes                    |  Yes  |  Yes  |  Yes  |  Yes  | medlanes |
| Mega Man - The Power Battle      |  Yes  |  Yes  |  Yes  |  Yes  | megaman  |
| Mega Twins                       |  Yes  |  Yes  |  Yes  |  Yes  | mtwins   |
| Mega Zone                        |  Yes  |  Yes  |  Yes  |  Yes  | megazone |
| MegaTack                         |  Yes  |  Yes  |  Yes  |  Yes  | megatack |
| Meikyu Jima                      |  Yes  |  Yes  |  Yes  |   No  | kikcubic |
| Mercs                            |  Yes  |  Yes  |  Yes  |  Yes  | mercs    |
| Meta Fox                         |  Yes  |  Yes  |Partial|  Yes  | metafox  |
| Metal Slug - Super Vehicle-001   |  Yes  |  Yes  |  Yes  |  Yes  | mslug    |
| Metal Slug 2 - Super Vehicle-001/|  Yes  |  Yes  |  Yes  |  Yes  | mslug2   |
| Meteoroids                       |  Yes  |  Yes  |  Yes  |  Yes  | meteor   |
| Metro-Cross                      |  Yes  |  Yes  |  Yes  |  Yes  | metrocrs |
| Midnight Resistance              |  Yes  |  Yes  |  Yes  |   No  | midres   |
| Mikie                            |  Yes  |  Yes  |  Yes  |  Yes  | mikie    |
| Millipede                        |  Yes  |  Yes  |  Yes  |  Yes  | milliped |
| Minefield                        |  Yes  |  Yes  |  Yes  |  Yes  | minefld  |
| Mini Golf                        |  Yes  |  Yes  |  Yes  |  Yes  | minigolf |
| Minivader                        |  Yes  |  Yes  |  Yes  |  Yes  | minivadr |
| Minky Monkey                     |  Yes  |  Yes  |  Yes  |  Yes  | mmonkey  |
| Minnasanno Okagesamadesu         |  Yes  |  Yes  |  Yes  |  Yes  | minasan  |
| Mirai Ninja                      |  Yes  |  Yes  |  Yes  |  Yes  | mirninja |
| Missile Command                  |  Yes  |  Yes  |  Yes  |  Yes  | missile  |
| Missing in Action                |  Yes  |  Yes  |  Yes  |  Yes  | mia      |
| Mister Viking                    |  Yes  |  Yes  |  Yes  |   No  | mrviking |
| Moguchan                         |  Yes  |   No  |  Yes  |  Yes  | moguchan |
| Mole Attack                      |  Yes  |  Yes  |  Yes  |  Yes  | mole     |
| Money Money                      |  Yes  |  Yes  |   No  |   No  | monymony |
| Money Puzzle Exchanger / Money Id|  Yes  |  Yes  |  Yes  |  Yes  | miexchng |
| Monster Bash                     |  Yes  |  Yes  | Yes(2)|  Yes  | monsterb |
| Moon Alien Part 2                |  Yes  |  Yes  |  Yes  |  Yes  | moonal2  |
| Moon Cresta                      |  Yes  |  Yes  |  Yes  |  Yes  | mooncrst |
| Moon Patrol                      |  Yes  |  Yes  |  Yes  |  Yes  | mpatrol  |
| Moon Quasar                      |  Yes  |  Yes  |  Yes  |  Yes  | moonqsr  |
| Moon Walker                      | No(1) |  Yes  |  Yes  |  Yes  | moonwalk |
| Moon War II                      |  Yes  |  Yes  |  Yes  |  Yes  | moonwar2 |
| Mortal Kombat                    | No(1) |  Yes  |  Yes  |  Yes  | mk       |
| Mortal Kombat II                 |   No  |  Yes  |  Yes  |  Yes  | mk2      |
| Motos                            |  Yes  |  Yes  |  Yes  |  Yes  | motos    |
| Mouse Trap                       |  Yes  |  Yes  |Partial|  Yes  | mtrap    |
| Mr. Do!                          |  Yes  |  Yes  |  Yes  |  Yes  | mrdo     |
| Mr. Do's Castle                  |  Yes  |  Yes  |  Yes  |  Yes  | docastle |
| Mr. Do's Wild Ride               |  Yes  |  Yes  |  Yes  |  Yes  | dowild   |
| Mr. Goemon                       |  Yes  |  Yes  |  Yes  |  Yes  | mrgoemon |
| Mr. Jong                         |  Yes  |  Yes  |  Yes  |  Yes  | mrjong   |
| Mr. TNT                          |  Yes  |  Yes  |  Yes  |  Yes  | mrtnt    |
| Ms. Pac-Man                      |  Yes  |  Yes  |  Yes  |  Yes  | mspacman |
| Mutant Night                     |  Yes  |  Yes  |  Yes  |  Yes  | mnight   |
| Mutation Nation                  |  Yes  |  Yes  |  Yes  |  Yes  | mutnat   |
| MX5000                           |  Yes  |  Yes  |  Yes  |  Yes  | mx5000   |
| My Hero                          |  Yes  |  Yes  |  Yes  |   No  | myhero   |
| Mysterious Stones                |  Yes  |  Yes  |  Yes  |  Yes  | mystston |
| Mystic Marathon                  |  Yes  |  Yes  |  Yes  |  Yes  | mysticm  |
| Mystic Riders                    |  Yes  |  Yes  |   No  |   No  | mysticri |
| NAM-1975                         |  Yes  |  Yes  |  Yes  |  Yes  | nam1975  |
| Name That Tune                   |  Yes  |  Yes  |  Yes  |  Yes  | nametune |
| Narc                             |  Yes  |  Yes  |  Yes  |  Yes  | narc     |
| Naughty Boy                      |  Yes  |  Yes  |  Yes  |   No  | naughtyb |
| Navalone                         |  Yes  |  Yes  |Partial|  Yes  | navalone |
| NBA Jam                          |   No  |  Yes  |  Yes  |  Yes  | nbajam   |
| Nemesis                          |  Yes  |  Yes  |  Yes  |  Yes  | nemesis  |
| Nemo                             |  Yes  |  Yes  |  Yes  |  Yes  | nemo     |
| Neo Bomberman                    |  Yes  |  Yes  |  Yes  |  Yes  | neobombe |
| Neo Drift Out - New Technology   |  Yes  |  Yes  |  Yes  |  Yes  | neodrift |
