This is the complete list of games supported by MAME 0.95 (Mar 27 2005).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Demolition Derby                 |  Yes  |  Yes  |  Yes  |  Yes  | demoderb |
| Demon                            |  Yes  |  Yes  |  Yes  |  Yes  | demon    |
| Demon's World / Horror Story     |  Yes  |  Yes  |  Yes  |  Yes  | demonwld |
| Demoneye-X                       |  Yes  |   No  |   No  |  Yes  | demoneye |
| Demons and Dragons               |  Yes  |  Yes  |   No  |  Yes  | demndrgn |
| Denjin Makai                     |   No  |  Yes  |  Yes  |  Yes  | denjinmk |
| Densya De Go                     |   No  |  Yes  |   No  |  Yes  | dendeg   |
| Densya De Go 2                   |   No  |  Yes  |   No  |  Yes  | dendeg2  |
| Depthcharge                      |  Yes  |  Yes  | Yes(2)|  Yes  | depthch  |
| Derby Quiz My Dream Horse        |   No  |  Yes  |Partial|  Yes  | mdhorse  |
| Deroon DeroDero                  |   No  |  Yes  |   No  |  Yes  | deroon   |
| Desert Breaker                   |  Yes  |  Yes  |  Yes  |  Yes  | desertbr |
| Desert Gun                       |  Yes  |  Yes  |   No  |  Yes  | desertgu |
| Desert Tank                      |   No  |  Yes  |  Yes  |  Yes  | desert   |
| Desert War / Wangan Sensou       |  Yes  |  Yes  |Partial|  Yes  | desertwr |
| Destroyer                        |  Yes  |  Yes  |   No  |  Yes  | destroyr |
| Devastators                      |  Yes  |  Yes  |  Yes  |  Yes  | devstors |
| Devil Fish                       |  Yes  |  Yes  |  Yes  |  Yes  | devilfsh |
| Devil World                      |  Yes  |  Yes  |  Yes  |  Yes  | devilw   |
| Devil Zone                       |  Yes  |  Yes  |Partial|  Yes  | devzone  |
| Dharma Doujou                    |  Yes  |  Yes  |  Yes  |  Yes  | dharma   |
| Diamond Derby                    |   No  |  Yes  |   No  |  Yes  | dmndrby  |
| Diamond Run                      |  Yes  |  Yes  |  Yes  |  Yes  | diamond  |
| Die Hard Arcade                  |  Yes  |  Yes  |   No  |  Yes  | diehard  |
| Diet Go Go                       |   No  |  Yes  |   No  |  Yes  | dietgo   |
| Dig Dug                          |  Yes  |  Yes  |  Yes  |  Yes  | digdug   |
| Dig Dug II                       |  Yes  |  Yes  |  Yes  |  Yes  | digdug2  |
| Digger                           |  Yes  |  Yes  |   No  |  Yes  | digger   |
| Digger                           |  Yes  |  Yes  |Partial|   No  | diggerc  |
| Dimahoo                          |  Yes  |  Yes  |  Yes  |  Yes  | dimahoo  |
| Dingo                            |   No  |  Yes  |  Yes  |  Yes  | dingoe   |
| Dingo                            |  Yes  |  Yes  |  Yes  |  Yes  | dingo    |
| Dino Rex                         |  Yes  |  Yes  |  Yes  |  Yes  | dinorex  |
| Dirt Devils                      |   No  |  Yes  |   No  |  Yes  | dirtdvls |
| Dirt Fox                         |  Yes  |  Yes  |  Yes  |  Yes  | dirtfoxj |
| Disco Mahjong Otachidai no Okite |  Yes  |  Yes  |  Yes  |  Yes  | otatidai |
| Disco No.1                       |  Yes  |  Yes  |  Yes  |  Yes  | cdiscon1 |
| Disco No.1                       |  Yes  |  Yes  |  Yes  |  Yes  | disco    |
| Discs of Tron                    |  Yes  |  Yes  |  Yes  |  Yes  | dotron   |
| Diver Boy                        |  Yes  |  Yes  |  Yes  |  Yes  | diverboy |
| Do! Run Run                      |  Yes  |  Yes  |  Yes  |   No  | dorunrun |
| DoDonPachi                       |  Yes  |  Yes  |  Yes  |  Yes  | ddonpach |
| Dock Man                         |  Yes  |  Yes  |  Yes  |  Yes  | dockman  |
| Dodgem                           |  Yes  |  Yes  |   No  |  Yes  | dodgem   |
| Dog Fight                        |  Yes  | Close |  Yes  |  Yes  | dogfight |
| Dog Patch                        |  Yes  |  Yes  |   No  |  Yes  | dogpatch |
| Dogyuun                          |  Yes  |  Yes  |   No  |  Yes  | dogyuun  |
| Dokaben                          |  Yes  |  Yes  |  Yes  |  Yes  | dokaben  |
| Domino Man                       |  Yes  |  Yes  |  Yes  |  Yes  | domino   |
| Dominos                          |  Yes  |  Yes  |  Yes  |  Yes  | dominos  |
| Dommy                            |  Yes  |  Yes  |  Yes  |  Yes  | dommy    |
| Don Den Lover Vol. 1             |  Yes  | Close |  Yes  |   No  | ddenlovr |
| Don Den Mahjong [BET]            |  Yes  |  Yes  |  Yes  |  Yes  | dondenmj |
| Don Doko Don                     |  Yes  |  Yes  |  Yes  |  Yes  | dondokod |
| DonPachi                         |  Yes  |  Yes  |  Yes  |  Yes  | donpachi |
| Donkey Kong                      |  Yes  |  Yes  | Yes(2)|  Yes  | dkong    |
| Donkey Kong 3                    |  Yes  |  Yes  |  Yes  |  Yes  | dkong3   |
| Donkey Kong Junior               |  Yes  |  Yes  | Yes(2)|  Yes  | dkongjr  |
| Dorachan                         |  Yes  |  Yes  |   No  |  Yes  | dorachan |
| Dorodon                          |  Yes  |  Yes  |  Yes  |  Yes  | dorodon  |
| Dottori Kun                      |  Yes  |  Yes  |   No  |  Yes  | dotrikun |
| Double Axle                      |  Yes  |  Yes  |  Yes  |  Yes  | dblaxle  |
| Double Cheese                    |   No  |  Yes  |  Yes  |  Yes  | dcheese  |
| Double Dragon                    |  Yes  |  Yes  |  Yes  |  Yes  | pc_ddrgn |
| Double Dragon                    |  Yes  |  Yes  |  Yes  |  Yes  | ddragon  |
| Double Dragon                    |  Yes  |  Yes  |  Yes  |  Yes  | doubledr |
| Double Dragon 3 - The Rosetta Sto|  Yes  |  Yes  |  Yes  |  Yes  | ddragon3 |
| Double Dragon II - The Revenge   |  Yes  |  Yes  |  Yes  |  Yes  | ddragon2 |
| Double Dribble                   |  Yes  |  Yes  |  Yes  |  Yes  | pc_dbldr |
| Double Dribble                   |  Yes  |  Yes  |  Yes  |  Yes  | ddribble |
| Double Point                     |  Yes  |  Yes  |  Yes  |  Yes  | dblpoint |
| Double Wings                     |   No  |  Yes  |   No  |  Yes  | dblewing |
| DownTown                         |  Yes  |  Yes  |  Yes  |  Yes  | downtown |
| Dr. Mario                        |  Yes  |  Yes  |  Yes  |  Yes  | pc_drmro |
| Dr. Micro                        |  Yes  |  Yes  |  Yes  |  Yes  | drmicro  |
| Dr. Toppel's Adventure           |  Yes  |  Yes  |  Yes  |  Yes  | drtoppel |
| Drag Race                        |  Yes  |  Yes  |  Yes  |  Yes  | dragrace |
| Dragon Ball Z V.R.V.S.           |   No  |  Yes  |  Yes  |  Yes  | dbzvrvs  |
| Dragon Blaze                     |  Yes  |  Yes  |  Yes  |  Yes  | dragnblz |
| Dragon Bowl                      |  Yes  |  Yes  |Partial|  Yes  | drgnbowl |
| Dragon Breed                     |  Yes  |  Yes  |  Yes  |   No  | dbreed   |
| Dragon Buster                    |  Yes  |  Yes  |  Yes  |  Yes  | drgnbstr |
| Dragon Gun                       |  Yes  |  Yes  |  Yes  |  Yes  | dragngun |
| Dragon Master                    |  Yes  |  Yes  |  Yes  |  Yes  | drgnmst  |
| Dragon Punch                     |  Yes  |  Yes  |  Yes  |  Yes  | drgpunch |
| Dragon Saber                     |  Yes  |  Yes  |  Yes  |  Yes  | dsaber   |
| Dragon Spirit                    |  Yes  |  Yes  |  Yes  |  Yes  | dspirit  |
| Dragon Unit / Castle of Dragon   |  Yes  |  Yes  |  Yes  |  Yes  | drgnunit |
| Dragon World 3                   |   No  |  Yes  |Partial|  Yes  | drgw3    |
| Dragon World II                  | No(1) |  Yes  |Partial|  Yes  | drgw2    |
| Dragon's Lair                    |   No  |  Yes  |   No  |  Yes  | dlair    |
| Dragonball Z                     |  Yes  |  Yes  |  Yes  |  Yes  | dbz      |
| Dragonball Z 2 Super Battle      |  Yes  |  Yes  |  Yes  |  Yes  | dbz2     |
| Dragoon Might                    |  Yes  |  Yes  |  Yes  |  Yes  | dragoona |
| Drakton                          |  Yes  |  Yes  |   No  |  Yes  | drakton  |
| Dramatic Adventure Quiz Keith & L|  Yes  |  Yes  |  Yes  |   No  | keithlcy |
| Dream Shopper                    |  Yes  |  Yes  |  Yes  |  Yes  | dremshpr |
| Dream Soccer '94                 |  Yes  |  Yes  |  Yes  |  Yes  | dsoccr94 |
| Dribbling                        |  Yes  |  Yes  |   No  |  Yes  | dribling |
| Drift Out                        |  Yes  |  Yes  |  Yes  |  Yes  | driftout |
| Drift Out '94 - The Hard Order   |  Yes  |  Yes  |  Yes  |   No  | drifto94 |
| Driver's Edge                    |  Yes  |  Yes  |  Yes  |  Yes  | drivedge |
| Driving Force                    |  Yes  |  Yes  |  Yes  |  Yes  | drivfrcp |
| Duck Hunt                        |  Yes  |  Yes  |  Yes  |  Yes  | pc_duckh |
| Dungeon Magic                    |  Yes  |  Yes  |  Yes  |  Yes  | dungeonm |
| Dungeons & Dragons: Shadow over M|  Yes  |  Yes  |  Yes  |  Yes  | ddsom    |
| Dungeons & Dragons: Tower of Doom|  Yes  |  Yes  |  Yes  |  Yes  | ddtod    |
| Dunk Mania                       |  Yes  |  Yes  |   No  |  Yes  | dunkmnia |
| Dunk Shot                        |  Yes  |  Yes  |  Yes  |  Yes  | dunkshot |
| Dyger                            |  Yes  |  Yes  |  Yes  |  Yes  | dyger    |
| Dyna Gears                       |  Yes  |  Yes  |  Yes  |   No  | dynagear |
| Dynablaster                      |  Yes  |  Yes  |  Yes  |   No  | dynablst |
| Dynamic Country Club             |  Yes  |  Yes  |  Yes  |  Yes  | dcclub   |
| Dynamic Country Club             |  Yes  |  Yes  |  Yes  |  Yes  | dcclubfd |
| Dynamic Dice                     |  Yes  |  Yes  |  Yes  |  Yes  | dynadice |
| Dynamic Ski                      |  Yes  |  Yes  |  Yes  |   No  | dynamski |
| Dynamite Baseball '97            |   No  |  Yes  |  Yes  |  Yes  | dynabb   |
| Dynamite Cop                     |   No  |  Yes  |  Yes  |  Yes  | dynamcop |
| Dynamite Duke                    |  Yes  |  Yes  |  Yes  |  Yes  | dynduke  |
| Dynamite Dux                     |  Yes  |  Yes  |  Yes  |  Yes  | ddux     |
| Dynamite League                  |  Yes  |  Yes  |  Yes  |  Yes  | dleague  |
| Dynasty Wars                     |  Yes  |  Yes  |  Yes  |  Yes  | dynwar   |
| Dyno Bop                         |   No  |  Yes  |  Yes  |  Yes  | dynobop  |
| E-Jan High School                |  Yes  |  Yes  |Partial|  Yes  | ejanhs   |
| E-Swat - Cyber Police            |  Yes  |  Yes  |  Yes  |  Yes  | eswat    |
| E.D.F. : Earth Defense Force     |  Yes  |  Yes  |  Yes  |  Yes  | edf      |
| ESP Ra.De.                       |  Yes  |  Yes  |  Yes  |  Yes  | esprade  |
| Eagle Shot Golf                  |   No  |  Yes  |  Yes  |   No  | eaglshot |
| Eco Fighters                     |  Yes  |  Yes  |  Yes  |  Yes  | ecofghtr |
| Egg Venture                      |  Yes  |  Yes  |  Yes  |  Yes  | eggventr |
| Eggor                            |  Yes  |   No  |Partial|  Yes  | eggor    |
| Ehrgeiz                          |  Yes  |  Yes  |Partial|  Yes  | ehrgeiz  |
| Eight Ball Action                |  Yes  |  Yes  |  Yes  |  Yes  | 8ballact |
| Eight Forces                     |  Yes  |  Yes  |  Yes  |  Yes  | eightfrc |
| Eight Man                        |  Yes  |  Yes  |  Yes  |  Yes  | eightman |
| Ejihon Tantei Jimusyo            |  Yes  |  Yes  |Partial|  Yes  | ejihon   |
| Elan Doree - Legend of Dragon    |   No  |  Yes  |Partial|  Yes  | elandore |
| Electric Yo-Yo, The              |  Yes  |  Yes  |  Yes  |  Yes  | elecyoyo |
| Elevator Action                  |  Yes  |  Yes  |  Yes  |  Yes  | elevator |
| Elevator Action Returns          |  Yes  |  Yes  |  Yes  |  Yes  | elvactr  |
| Eleven Beat                      |   No  |  Yes  |   No  |  Yes  | 11beat   |
| Eliminator                       |  Yes  |  Yes  | Yes(2)|  Yes  | elim2    |
| Embargo                          |  Yes  |  Yes  |   No  |  Yes  | embargo  |
| Emeraldia                        |  Yes  |  Yes  |Partial|  Yes  | emeralda |
| Empire City: 1931                |  Yes  |  Yes  |  Yes  |  Yes  | empcity  |
| Empire Strikes Back, The         |  Yes  |  Yes  |  Yes  |  Yes  | esb      |
| End, The                         |  Yes  |  Yes  |  Yes  |  Yes  | theend   |
| Enduro Racer                     |  Yes  |  Yes  |  Yes  |  Yes  | enduror  |
| Enforce                          |  Yes  |  Yes  |  Yes  |  Yes  | enforce  |
| Enigma 2                         |  Yes  |  Yes  |  Yes  |  Yes  | enigma2  |
| Equites                          |   No  |  Yes  |  Yes  |   No  | equites  |
| Erotictac/Tactic                 |  Yes  |  Yes  |   No  |  Yes  | ertictac |
| Escape Kids                      |  Yes  |  Yes  |  Yes  |  Yes  | esckids  |
| Escape from the Planet of the Rob|  Yes  |  Yes  |  Yes  |  Yes  | eprom    |
| Espial                           |  Yes  |  Yes  |  Yes  |  Yes  | espial   |
| Evil Stone                       |  Yes  |  Yes  |  Yes  |  Yes  | evilston |
| Evolution Soccer                 |  Yes  |  Yes  |  Yes  |  Yes  | evosocc  |
| Excelsior                        |  Yes  |  Yes  |  Yes  |  Yes  | excelsr  |
| Excite Bike                      |  Yes  |  Yes  |  Yes  |  Yes  | pc_ebike |
| Excite League                    |   No  |  Yes  |  Yes  |  Yes  | exctleag |
| Exciting Soccer                  |  Yes  |  Yes  |  Yes  |  Yes  | exctsccr |
| Exciting Soccer II               |   No  |  Yes  |  Yes  |  Yes  | exctscc2 |
| Exed Exes                        |  Yes  |  Yes  |  Yes  |  Yes  | exedexes |
| Exerion                          |  Yes  |  Yes  |  Yes  |  Yes  | exerion  |
| Explorer                         |   No  |  Yes  |  Yes  |  Yes  | cexplore |
| Explosive Breaker                |  Yes  |  Yes  |  Yes  |  Yes  | explbrkr |
| Express Raider                   |  Yes  |  Yes  |  Yes  |  Yes  | exprraid |
| Extermination                    |  Yes  |  Yes  |  Yes  |  Yes  | extrmatn |
| Exterminator                     |  Yes  |  Yes  |  Yes  |  Yes  | exterm   |
| Extra Bases                      |  Yes  |  Yes  |  Yes  |  Yes  | ebases   |
| Extra Inning                     |  Yes  |  Yes  |   No  |  Yes  | einnings |
| Extreme Downhill                 |  Yes  |  Yes  |  Yes  |  Yes  | extdwnhl |
| Exvania                          |  Yes  |  Yes  |Partial|  Yes  | exvania  |
| Exzisus                          |  Yes  |  Yes  |  Yes  |  Yes  | exzisus  |
| Eyes                             |  Yes  |  Yes  |  Yes  |  Yes  | eyes     |
| F-1 Dream                        |  Yes  |  Yes  |  Yes  |  Yes  | f1dream  |
| F-1 Grand Prix                   |  Yes  |  Yes  |  Yes  |   No  | f1gp     |
| F-1 Grand Prix Part II           |  Yes  |  Yes  |  Yes  |   No  | f1gp2    |
| F-1 Grand Prix Star II           |  Yes  |  Yes  |  Yes  |  Yes  | f1gpstr2 |
| F-15 Strike Eagle                |   No  |  Yes  |  Yes  |  Yes  | f15se    |
| F-Zero                           |   No  |  Yes  |   No  |  Yes  | nss_fzer |
| F1 Exhaust Note                  |  Yes  |  Yes  |  Yes  |  Yes  | f1en     |
| F1 Super Battle                  |   No  |  Yes  |   No  |  Yes  | f1superb |
| F1 Super Lap                     |   No  |  Yes  |  Yes  |  Yes  | f1lap    |
| Face Off                         |  Yes  |  Yes  |  Yes  |  Yes  | faceoff  |
| FairyLand Story, The             |  Yes  |  Yes  |Partial|  Yes  | flstory  |
| Fancy World - Earth of Crisis    |  Yes  |  Yes  |  Yes  |  Yes  | fncywld  |
| Fantasia                         |  Yes  |  Yes  |  Yes  |   No  | fantasia |
| Fantasia II                      |  Yes  |  Yes  |  Yes  |   No  | fantsia2 |
| Fantasy                          |  Yes  |  Yes  | Yes(2)|  Yes  | fantasy  |
| Fantasy '95                      |  Yes  |  Yes  |  Yes  |   No  | fantsy95 |
| Fantasy Land                     |  Yes  |  Yes  |  Yes  |  Yes  | fantland |
| Fantasy Zone                     |  Yes  |  Yes  |  Yes  |  Yes  | fantzone |
| Fantasy Zone 2                   |   No  |  Yes  |  Yes  |  Yes  | fantzn2  |
| Far East of Eden - Kabuki Klash /|  Yes  |  Yes  |  Yes  |  Yes  | kabukikl |
| Fast Lane                        |  Yes  | Close |  Yes  |  Yes  | fastlane |
| Faster, Harder, More Challenging |  Yes  |  Yes  | Yes(2)|  Yes  | sqbert   |
| Fatal Fury - King of Fighters / G|  Yes  |  Yes  |  Yes  |  Yes  | fatfury1 |
| Fatal Fury 2 / Garou Densetsu 2 -|  Yes  |  Yes  |  Yes  |  Yes  | fatfury2 |
| Fatal Fury 3 - Road to the Final |  Yes  |  Yes  |  Yes  |  Yes  | fatfury3 |
| Fatal Fury Special / Garou Denset|  Yes  |  Yes  |  Yes  |  Yes  | fatfursp |
| Fatal Fury: Wild Ambition        |   No  |  Yes  |   No  |  Yes  | fatfurwa |
| Fax                              |  Yes  |  Yes  |  Yes  |  Yes  | fax      |
| Field Combat                     |  Yes  |   No  |  Yes  |  Yes  | fcombat  |
| Field Day                        |  Yes  |  Yes  |  Yes  |  Yes  | fieldday |
| Field Goal                       |  Yes  |  Yes  |   No  |  Yes  | fgoal    |
| Fight Fever                      |  Yes  |  Yes  |  Yes  |  Yes  | fightfev |
| Fighter & Attacker               |  Yes  |  Yes  |Partial|  Yes  | fghtatck |
| Fighter's History                |   No  |  Yes  |  Yes  |  Yes  | fghthist |
| Fighters' Impact A               |   No  |  Yes  |Partial|  Yes  | ftimpcta |
| Fighting Basketball              |  Yes  |  Yes  |Partial|  Yes  | fghtbskt |
| Fighting Golf                    |  Yes  |  Yes  |  Yes  |   No  | fitegolf |
| Fighting Hawk                    |  Yes  |  Yes  |  Yes  |  Yes  | fhawk    |
| Fighting Ice Hockey              |  Yes  |  Yes  |  Yes  |  Yes  | cfghtice |
| Fighting Layer                   |  Yes  |  Yes  |Partial|  Yes  | fgtlayer |
| Fighting Roller                  |  Yes  | Close |Partial|  Yes  | fightrol |
| Fighting Soccer                  |  Yes  |  Yes  |  Yes  |   No  | ftsoccer |
| Fighting Vipers                  |   No  |  Yes  |  Yes  |  Yes  | fvipers  |
| Final Blow                       |  Yes  |  Yes  |  Yes  |  Yes  | finalb   |
| Final Fight                      |  Yes  |  Yes  |  Yes  |  Yes  | ffight   |
| Final Fight Revenge              |   No  |  Yes  |   No  |  Yes  | ffreveng |
| Final Lap                        |  Yes  |  Yes  |  Yes  |  Yes  | finallap |
| Final Lap 2                      |   No  |  Yes  |  Yes  |  Yes  | finalap2 |
| Final Lap 3                      |   No  |  Yes  |  Yes  |  Yes  | finalap3 |
| Final Lap R                      |   No  |  Yes  |   No  |  Yes  | finalapr |
| Final Round, The                 |  Yes  |  Yes  |  Yes  |  Yes  | fround   |
| Final Star Force                 |  Yes  |  Yes  |  Yes  |  Yes  | fstarfrc |
| Finalizer - Super Transformation |  Yes  |  Yes  |Partial|   No  | finalizr |
| Find Love                        |   No  |  Yes  |Partial|  Yes  | findlove |
| Find Out                         |  Yes  |   No  |Partial|  Yes  | findout  |
| Finest Hour                      |  Yes  |  Yes  |  Yes  |  Yes  | finehour |
| Fire Barrel                      |  Yes  |  Yes  |   No  |  Yes  | firebarr |
| Fire Battle                      |  Yes  |  Yes  |  Yes  |  Yes  | firebatl |
| Fire Hawk                        |   No  |  Yes  |  Yes  |  Yes  | firehawk |
| Fire One                         |  Yes  |  Yes  |   No  |  Yes  | fireone  |
| Fire Shark                       |  Yes  |  Yes  |   No  |  Yes  | fireshrk |
| Fire Shark                       |   No  |  Yes  |  Yes  |  Yes  | mt_fshrk |
| Fire Trap                        |  Yes  |  Yes  |  Yes  |  Yes  | firetrap |
| Fire Truck                       |  Yes  |  Yes  |  Yes  |  Yes  | firetrk  |
| Fit of Fighting                  |  Yes  |  Yes  |   No  |  Yes  | fitfight |
| FixEight                         | No(1) |  Yes  |Partial|  Yes  | fixeight |
| Flash Point                      |  Yes  |  Yes  |  Yes  |  Yes  | fpoint   |
| Flashgal                         |  Yes  |  Yes  |  Yes  |  Yes  | flashgal |
| Flicky                           |  Yes  |  Yes  |  Yes  |  Yes  | flicky   |
| Flip & Flop                      |  Yes  |  Yes  |  Yes  |  Yes  | mf_flip  |
| Flower                           |  Yes  |  Yes  |Partial|  Yes  | flower   |
| Fly-Boy                          |  Yes  |  Yes  |  Yes  |  Yes  | flyboy   |
| Flyball                          |  Yes  |  Yes  |   No  |  Yes  | flyball  |
| Flying Ball?                     |  Yes  |  Yes  |  Yes  |  Yes  | cflyball |
| Flying Shark                     |  Yes  |  Yes  |  Yes  |  Yes  | fshark   |
| Food Fight                       |  Yes  |  Yes  |  Yes  |  Yes  | foodf    |
| Football Champ                   |  Yes  |  Yes  |  Yes  |  Yes  | footchmp |
| Football Frenzy                  |  Yes  |  Yes  |  Yes  |  Yes  | fbfrenzy |
| Forgotten Worlds                 |  Yes  |  Yes  |  Yes  |  Yes  | forgottn |
| Formation Z                      |  Yes  |  Yes  |  Yes  |  Yes  | formatz  |
| Forty-Love                       |  Yes  |  Yes  |  Yes  |  Yes  | 40love   |
| Four Trax                        |  Yes  |  Yes  |  Yes  |  Yes  | fourtrax |
| Free Kick                        | No(1) |  Yes  |  Yes  |  Yes  | freekick |
| Freeze                           |  Yes  |  Yes  |  Yes  |  Yes  | freeze   |
| Frenzy                           |  Yes  |  Yes  | Yes(2)|  Yes  | frenzy   |
| Frisky Tom                       |  Yes  |  Yes  |  Yes  |   No  | friskyt  |
| Frogger                          |  Yes  |  Yes  |  Yes  |  Yes  | frogger  |
| Frogs                            |  Yes  |  Yes  | Yes(2)|  Yes  | frogs    |
| Front Line                       |  Yes  |  Yes  |  Yes  |  Yes  | frontlin |
| Funky Bee                        |  Yes  |  Yes  |  Yes  |  Yes  | funkybee |
| Funky Fish                       |  Yes  |  Yes  |  Yes  |  Yes  | fnkyfish |
| Funky Head Boxers                |   No  |  Yes  |   No  |  Yes  | fhboxers |
| Funky Jet                        |  Yes  |  Yes  |  Yes  |  Yes  | funkyjet |
| Funny Bubble                     |  Yes  |  Yes  |  Yes  |  Yes  | funybubl |
| Funny Mouse                      |  Yes  |  Yes  |  Yes  |  Yes  | funnymou |
| Funny Strip                      |   No  |  Yes  |   No  |  Yes  | funystrp |
| Future Spy                       |  Yes  |  Yes  | Yes(2)|  Yes  | futspy   |
| G-Darius                         |  Yes  |  Yes  |Partial|  Yes  | gdarius  |
| G-LOC Air Battle                 |  Yes  |  Yes  |  Yes  |  Yes  | gloc     |
| GI Joe                           |  Yes  |  Yes  |  Yes  |  Yes  | gijoe    |
| GP Rider                         | No(1) |  Yes  |  Yes  |  Yes  | gprider  |
| GP500                            |   No  |  Yes  |   No  |  Yes  | gp500    |
| GTI Club                         |   No  |  Yes  |   No  |  Yes  | gticlub  |
| Gaia Crusaders                   |  Yes  |  Yes  |Partial|  Yes  | gaia     |
| Gaiapolis                        |  Yes  |  Yes  |  Yes  |  Yes  | gaiapols |
| Gain Ground                      |  Yes  |  Yes  |  Yes  |  Yes  | gground  |
| Galactic Warriors                |  Yes  |  Yes  |  Yes  |  Yes  | gwarrior |
| Galaga                           |  Yes  |  Yes  |  Yes  |  Yes  | galaga   |
| Galaga '88                       |  Yes  |  Yes  |  Yes  |  Yes  | galaga88 |
| Galaxian                         |  Yes  |  Yes  |  Yes  |  Yes  | galaxian |
| Galaxy Fight - Universal Warriors|  Yes  |  Yes  |  Yes  |  Yes  | galaxyfg |
| Galaxy Force 2                   |  Yes  |  Yes  |  Yes  |  Yes  | gforce2  |
| Galaxy Gunners                   |  Yes  |  Yes  |  Yes  |  Yes  | galaxygn |
| Galaxy Wars                      |  Yes  |  Yes  | Yes(2)|  Yes  | galxwars |
| Galivan - Cosmo Police           |  Yes  |  Yes  |  Yes  |  Yes  | galivan  |
| Gallop Racer                     |  Yes  |  Yes  |Partial|  Yes  | glpracr  |
| Gallop Racer 2                   |   No  |  Yes  |Partial|  Yes  | glpracr2 |
| Gallop Racer 3                   |  Yes  |  Yes  |Partial|  Yes  | glpracr3 |
| Galmedes                         |  Yes  |  Yes  |  Yes  |  Yes  | galmedes |
| Gals Hustler                     |  Yes  |  Yes  |  Yes  |  Yes  | galhustl |
| Gals Panic                       |  Yes  |  Yes  |  Yes  |   No  | galpanic |
| Gals Panic 3                     |   No  |  Yes  |  Yes  |  Yes  | galpani3 |
| Gals Panic 4                     |  Yes  |  Yes  |  Yes  |  Yes  | galpani4 |
| Gals Panic II                    |   No  |  Yes  |  Yes  |  Yes  | galpani2 |
| Gals Panic II - Quiz Version     |   No  |  Yes  |  Yes  |  Yes  | gpan2qiz |
| Gals Panic S - Extra Edition     |  Yes  |  Yes  |  Yes  |  Yes  | galpanis |
| Gals Panic S2                    |  Yes  |  Yes  |  Yes  |  Yes  | galpans2 |
| Gals Pinball                     |  Yes  |  Yes  |  Yes  |   No  | galspnbl |
| Game Paradise - Master of Shootin|  Yes  |  Yes  |Partial|  Yes  | gametngk |
| Games V18.7C                     |  Yes  |  Yes  |  Yes  |  Yes  | usg185   |
| Games V25.4X                     |  Yes  |  Yes  |  Yes  |  Yes  | usg252   |
| Ganbare Ginkun                   |  Yes  |  Yes  |  Yes  |  Yes  | ginkun   |
| Gang Busters                     |  Yes  |  Yes  |  Yes  |  Yes  | gbusters |
| Gang Wars                        |  Yes  |  Yes  |  Yes  |  Yes  | gangwars |
| Gaplus                           |  Yes  |  Yes  | Yes(2)|  Yes  | gaplus   |
| Gardia                           |   No  |  Yes  |  Yes  |   No  | gardia   |
| Garou - Mark of the Wolves       |  Yes  |  Yes  |  Yes  |  Yes  | garou    |
| Garyo Retsuden                   |  Yes  |  Yes  |  Yes  |  Yes  | garyoret |
| Gauntlet                         |  Yes  |  Yes  |  Yes  |  Yes  | gauntlet |
| Gauntlet                         |  Yes  |  Yes  |  Yes  |  Yes  | pc_gntlt |
| Gauntlet Dark Legacy             |  Yes  |  Yes  |  Yes  |  Yes  | gauntdl  |
| Gauntlet II                      |  Yes  |  Yes  |  Yes  |  Yes  | gaunt2   |
| Gauntlet Legends                 |  Yes  |  Yes  |  Yes  |  Yes  | gauntleg |
| Gee Bee                          |  Yes  |  Yes  |  Yes  |  Yes  | geebee   |
| Gekirindan                       |  Yes  |  Yes  |  Yes  |  Yes  | gekirido |
| Gemini Wing                      |  Yes  |  Yes  |  Yes  |  Yes  | gemini   |
| Genix Family                     |  Yes  |  Yes  |  Yes  |  Yes  | genix    |
| Genpei ToumaDen                  |  Yes  |  Yes  |  Yes  |  Yes  | genpeitd |
| Ghost Hunter                     |  Yes  |  Yes  |  Yes  |  Yes  | ghoshunt |
